state,month,enrol_total,state_code,predicted_bio_demand
Andaman & Nicobar Islands,13,123,0,3752.574583333333
Andhra Pradesh,13,22926,1,326138.651875
Arunachal Pradesh,13,368,2,7654.891820707068
Assam,13,20159,3,223536.4255079365
Bihar,13,86883,4,528350.26
Chandigarh,13,523,5,8374.680584249103
Chhattisgarh,13,18216,6,381574.564577381
Dadra and Nagar Haveli and Daman and Diu,13,175,7,3104.6455753968253
Delhi,13,10406,8,132187.48696804178
Goa,13,299,9,6921.620886716224
Gujarat,13,30388,10,300561.2384543651
Haryana,13,14312,11,179452.48401713566
Himachal Pradesh,13,2929,12,46075.67980158729
Jammu & Kashmir,13,11444,13,127124.2376967575
Jharkhand,13,23478,14,215199.46757702026
Karnataka,13,38590,15,288120.0948681457
Kerala,13,14123,16,172065.3506897547
Ladakh,13,158,17,755.580402777778
Lakshadweep,13,31,18,644.187226190476
Madhya Pradesh,13,81587,19,567545.315
Maharashtra,13,54216,20,970018.6271428572
Manipur,13,1470,21,15432.483249422572
Meghalaya,13,2133,22,12337.910869552446
Mizoram,13,436,23,6107.734452500951
Nagaland,13,316,24,8230.508149891773
Odisha,13,19664,25,223319.46012229435
Puducherry,13,420,26,7868.351553571429
Punjab,13,8357,27,148063.7616255411
Rajasthan,13,48291,28,468931.84214285715
Sikkim,13,111,29,12425.968307539682
Tamil Nadu,13,34850,30,381701.4690178571
Telangana,13,15809,31,281238.57999675325
Tripura,13,2077,32,32437.142477272726
Uttar Pradesh,13,114404,33,659439.475
Uttarakhand,13,5864,34,80084.005
West Bengal,13,47615,35,411250.69422619045
