state,month,bio_total,z_score,z_anomaly,iqr_anomaly,if_anomaly,combined_anomaly,severity
Chandigarh,7,32547,2.6232184814625166,False,True,False,True,2.6232184814625166
Uttarakhand,12,195085,2.457378289934858,False,True,False,True,2.457378289934858
Mizoram,3,51069,2.448539257355141,False,True,False,True,2.448539257355141
West Bengal,7,419961,2.269772705649833,False,True,False,True,2.269772705649833
Manipur,7,86754,2.2193155531524686,False,True,False,True,2.2193155531524686
Puducherry,9,12832,2.2187344919589997,False,True,False,True,2.2187344919589997
Dadra and Nagar Haveli and Daman and Diu,10,1302,-2.060752279191452,False,True,False,True,2.060752279191452
Uttar Pradesh,10,528929,-2.039031232107591,False,True,False,True,2.039031232107591
Tripura,3,61839,2.0237506509399403,False,True,False,True,2.0237506509399403
Maharashtra,10,690606,-1.8991642176799193,False,True,False,True,1.8991642176799193
Haryana,7,267325,1.862605223546336,False,True,False,True,1.862605223546336
Rajasthan,10,156542,-1.7162297668079705,False,True,False,True,1.7162297668079705
Goa,9,4692,-1.6457546370913452,False,True,False,True,1.6457546370913452
Tamil Nadu,9,321118,-1.5866357799503743,False,True,False,True,1.5866357799503743
West Bengal,10,177642,-1.5454307225378572,False,True,False,True,1.5454307225378572
Uttar Pradesh,7,1426001,1.5345337516363786,False,True,True,True,1.5345337516363786
Lakshadweep,9,328,-1.520251349659906,False,False,True,True,1.520251349659906
Tamil Nadu,3,680675,1.4657419228981956,False,True,False,True,1.4657419228981956
Tamil Nadu,10,342477,-1.4053133877979684,False,True,False,True,1.4053133877979684
Ladakh,6,339,-1.241568443760241,False,False,True,True,1.241568443760241
Tripura,4,47615,1.0685638025408968,False,True,False,True,1.0685638025408968
Manipur,11,57408,1.0583558355027198,False,True,False,True,1.0583558355027198
Uttar Pradesh,4,1257448,0.8630880943145613,False,False,True,True,0.8630880943145613
Mizoram,4,24235,0.7116680095857616,False,True,False,True,0.7116680095857616
Lakshadweep,10,453,-0.5663847749987824,False,False,True,True,0.5663847749987824
